[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3968764552.84836,10/04/2025,6:35 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.3.2 Build 2, MultiVu Release 2.3.9.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1360,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM110,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCI091,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,,SAMPLE_HOLDER
INFO,50.15,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3968765370.17009,1.56007564067841,5999.7568359375,,,6,,,,39.6859999681115,,,100,,1.55816900730133,1.55961930751801,5999.7568359375,5999.7568359375,,,3.0016610622406,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.5612233877182,0,2885687680,1.55883893701765,,,0.0318886204949016,0.00231804105222477,0.0474689890866032,0.00235147348142122,0.267771065235138,0.965392112731934,36.6177291870117,0.157029569149017,30,4,200,-0.00555717293173075,-2.19835710525513,0.441998600959778,1,0.445082277059555,,,,,,,,,,,,,,,
,3968765403.37243,1.55988222360611,6249.67041015625,,,6,,,,39.6859999681115,,,100,,1.55847775936127,1.55995738506317,6249.67041015625,6249.67041015625,,,3.00178694725037,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56084156036377,0,2885687520,1.55892344315847,,,0.0329186674442829,0.00239305402609497,0.0490094690753581,0.00242779862393438,0.267734855413437,0.965224385261536,36.617603302002,0,30,4,200,-0.0056653693318367,-2.27521657943726,0.460716307163239,1,0.447633057832718,,,,,,,,,,,,,,,
,3968765436.30997,1.55988526344299,6499.58447265625,,,6,,,,39.6859999681115,,,100,,1.55824065208435,1.55926871299744,6499.58447265625,6499.58447265625,,,3.00271534919739,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56151711940765,0,2885687424,1.55851991971334,,,0.0339224001067828,0.00246647627571141,0.0505112908634208,0.00250220587616211,0.267618030309677,0.965096771717071,36.6171073913574,0,30,4,200,-0.00582289323210716,-2.34450030326843,0.474858909845352,1,0.445239871740341,,,,,,,,,,,,,,,
,3968765469.23788,1.55962479114532,6749.8056640625,,,6,,,,39.6859999681115,,,100,,1.55805599689484,1.55932450294495,6749.8056640625,6749.8056640625,,,3.00037622451782,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56066799163818,0,2885687968,1.55851279364692,,,0.0349301304499336,0.00253926508538929,0.0519993196300102,0.0025759289145787,0.267738521099091,0.964995741844177,36.6174964904785,3.62824201583862,30,4,200,-0.00597630720585585,-2.41727137565613,0.484219640493393,1,0.447321593761444,,,,,,,,,,,,,,,
,3968765502.29464,1.5597340464592,6999.70703125,,,6,,,,39.6859999681115,,,100,,1.55818498134613,1.55942130088806,6999.70703125,6999.70703125,,,3.00292372703552,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.560999751091,0,2885687584,1.55857198768192,,,0.0358978144154992,0.00261052827276774,0.053460158131047,0.00264829778439025,0.267516225576401,0.964976727962494,36.6163635253906,0.0236282628029585,30,4,200,-0.00618210760876536,-2.47633624076843,0.505815505981445,1,0.448448866605759,,,,,,,,,,,,,,,
,3968765535.31931,1.55970239639282,7249.6083984375,,,6,,,,39.6859999681115,,,100,,1.55818641185761,1.55957114696503,7249.6083984375,7249.6083984375,,,3.00503349304199,,1,0,0,0,0.0003814697265625,35.190616607666,6,1,1,1.56128549575806,0,2885687232,1.55850401189592,,,0.0368795878522562,0.00268134649328521,0.0549078785254853,0.00272003649551927,0.267652362585068,0.9647416472435,36.6170539855957,0.0234915297478437,30,4,200,-0.0063505619764328,-2.54455828666687,0.517873346805572,1,0.448826313018799,,,,,,,,,,,,,,,
,3968765568.08751,1.55968791246414,7499.650390625,,,6,,,,39.6859999681115,,,100,,1.5579446554184,1.55924391746521,7499.650390625,7499.650390625,,,3.00372433662415,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56094300746918,0,2885687392,1.558328933186,,,0.0378324249020471,0.00275135320854782,0.0563380793216717,0.00279089522457289,0.267484396696091,0.964650511741638,36.6160888671875,6.05112314224243,30,4,200,-0.00646802177652717,-2.61176991462708,0.52982360124588,1,0.448286443948746,,,,,,,,,,,,,,,
,3968765601.41044,1.55957210063934,7749.6796875,,,6,,,,39.6859999681115,,,100,,1.55786633491516,1.55916225910187,7749.6796875,7749.6796875,,,3.00605869293213,,1,0,0,0,0.0025177001953125,35.190616607666,6,1,1,1.56084775924683,0,2885688000,1.55825760629442,,,0.038791935654838,0.00282147497694128,0.0577782432907462,0.00286224792673708,0.267407655715942,0.964551210403442,36.6159400939941,,30,4,200,-0.00638200435787439,-2.67950630187988,0.543029487133026,1,0.429741114377975,,,,,,,,,,,,,,,
,3968765634.39284,1.55935966968536,7999.60693359375,,,6,,,,39.6859999681115,,,100,,1.55781257152557,1.55950045585632,7999.60693359375,7999.60693359375,,,3.00487995147705,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.56061446666718,0,2885687872,1.55815949704912,,,0.0397371058538935,0.00289019818307442,0.0591860848339153,0.00293200662501372,0.267412722110748,0.964402198791504,36.6161155700684,0,30,4,200,-0.00679474417120218,-2.74262714385986,0.557223320007324,1,0.444977253675461,,,,,,,,,,,,,,,
,3968765667.4635,1.55893355607986,8249.6494140625,,,6,,,,39.6859999681115,,,100,,1.55733513832092,1.5588812828064,8249.6494140625,8249.6494140625,,,3.00463962554932,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,1.55987358093262,0,2885687392,1.55787813663483,,,0.0406458628000658,0.00295719577485041,0.0605540691112849,0.00299979680165824,0.267219930887222,0.96419095993042,36.6150054931641,,30,4,200,-0.00701911794021726,-2.81488084793091,0.572341620922089,1,0.427045792341232,,,,,,,,,,,,,,,
