B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file,M_muB_per_Yb_fixed_ctr_SUPERSEDED
5.22497,1.52882,0.0757746,0.4273,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.03012
5.24997,1.53172,0.0759185,0.4523,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.03195
5.27497,1.53446,0.0760551,0.4536,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.03385
5.29997,1.53693,0.0761781,0.4411,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.03556
5.32495,1.53931,0.0762973,0.4293,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.0372
5.34996,1.54207,0.0764332,0.4455,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.03946
5.37496,1.54447,0.0765533,0.4464,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.04078
5.39996,1.5472,0.0766882,0.4465,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.0433
5.42497,1.54953,0.0768029,0.4477,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.04458
5.44997,1.55199,0.0769256,0.4304,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.04568
5.47497,1.55422,0.077038,0.4511,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.04769
5.49997,1.55666,0.0771603,0.4387,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.04979
5.52496,1.55895,0.0772751,0.4278,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.05121
5.54997,1.56093,0.0773737,0.4446,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.05249
5.57497,1.56312,0.0774828,0.4363,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.05432
5.59997,1.56543,0.0775969,0.4381,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.05594
5.62496,1.56778,0.0777131,0.4364,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.05755
5.64997,1.56999,0.0778231,0.4369,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.05927
5.67496,1.57216,0.0779298,0.4385,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.06043
5.69996,1.57427,0.0780339,0.4430,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.06205
5.72496,1.57628,0.0781327,0.4447,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.06356
5.74997,1.57821,0.0782288,0.4364,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.06477
5.77499,1.58029,0.0783318,0.4413,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.06627
5.79996,1.58226,0.0784276,0.4408,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.0675
5.82497,1.58422,0.0785254,0.4442,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.06936
5.84997,1.58622,0.0786235,0.4297,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07032
5.87497,1.58799,0.0787115,0.4434,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07153
5.89995,1.58993,0.0788071,0.4429,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07295
5.92496,1.59177,0.0788989,0.4486,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07454
5.94995,1.59359,0.0789894,0.4493,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07546
5.97497,1.59535,0.0790779,0.4445,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07676
5.99996,1.59695,0.0791567,0.4506,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07834
6.02499,1.59871,0.0792429,0.4345,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.07907
6.04997,1.60051,0.0793326,0.4518,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08033
6.07496,1.60213,0.0794131,0.4507,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08172
6.09998,1.6038,0.0794963,0.4355,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08304
6.12496,1.60552,0.0795816,0.4564,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08416
6.14996,1.60718,0.0796646,0.4576,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08501
6.17496,1.60856,0.0797329,0.4436,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08634
6.19997,1.61017,0.0798128,0.4407,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.0872
6.22495,1.61175,0.0798925,0.4392,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08812
6.24998,1.61325,0.0799681,0.4299,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.08916
6.27497,1.61479,0.0800459,0.4534,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09043
6.29999,1.61634,0.0801222,0.4311,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09153
6.32497,1.61795,0.0802013,0.4375,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09284
6.34995,1.61926,0.080266,0.4373,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09354
6.37498,1.62078,0.0803421,0.4294,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09498
6.39997,1.62216,0.0804103,0.4529,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09556
6.42495,1.6236,0.0804822,0.4299,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09682
6.44998,1.62521,0.080562,0.4280,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09793
6.47498,1.62639,0.0806216,0.4380,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09843
6.49996,1.62757,0.0806828,0.4437,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.09922
6.52499,1.62894,0.0807505,0.4378,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10076
6.54998,1.63043,0.0808234,0.4398,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10177
6.57496,1.63187,0.0808929,0.4390,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10312
6.59998,1.63304,0.0809498,0.4394,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10314
6.62497,1.6344,0.0810176,0.4485,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.1044
6.64997,1.63556,0.0810767,0.4308,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10542
6.67494,1.6367,0.0811334,0.4457,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10589
6.69997,1.63807,0.0812,0.4409,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10693
6.72496,1.63934,0.0812638,0.4410,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10732
6.74997,1.64047,0.0813223,0.4383,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10838
6.77497,1.64185,0.0813904,0.4374,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.10974
6.79998,1.64302,0.0814473,0.4406,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11015
6.82496,1.64424,0.0815089,0.4380,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11119
6.84998,1.64543,0.0815671,0.4290,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11208
6.87497,1.64664,0.0816267,0.4270,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11317
6.89996,1.64766,0.081677,0.4424,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11361
6.92495,1.64892,0.081739,0.4477,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11441
6.94997,1.6501,0.081798,0.4418,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11522
6.97498,1.65116,0.0818507,0.4436,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11615
6.99995,1.65235,0.0819103,0.4381,DC Moment Free Ctr (emu),12.20,YbZnGaO_Bpara001_12.2mg_MvH_0.4K_10042025.dat,1.11721
