B_T,M_muB_per_Yb,n_pixels,source
0.022453889334402566,0.017222222222222222,3,visible_curve
0.03929430633520449,0.021111111111111112,3,visible_curve
0.058941459502806735,0.027361111111111114,4,visible_curve
0.08139534883720931,0.037083333333333336,4,visible_curve
0.10104250200481153,0.045925925925925926,3,visible_curve
0.1206896551724138,0.05416666666666667,4,visible_curve
0.14033680834001605,0.06148148148148148,3,visible_curve
0.1599839615076183,0.07,4,visible_curve
0.17963111467522053,0.07796296296296296,3,visible_curve
0.19927826784282276,0.085,4,visible_curve
0.218925421010425,0.09296296296296296,3,visible_curve
0.23857257417802727,0.10013888888888889,4,visible_curve
0.26102646351242986,0.10791666666666666,4,visible_curve
0.2806736166800321,0.11555555555555556,3,visible_curve
0.30032076984763434,0.12236111111111111,4,visible_curve
0.3199679230152366,0.12888888888888891,3,visible_curve
0.3396150761828388,0.13541666666666666,4,visible_curve
0.35926222935044105,0.1424074074074074,3,visible_curve
0.3789093825180433,0.1486111111111111,4,visible_curve
0.4013632718524459,0.15611111111111112,4,visible_curve
0.42101042502004815,0.16185185185185183,3,visible_curve
0.4406575781876504,0.16833333333333333,4,visible_curve
0.4603047313552526,0.17351851851851852,3,visible_curve
0.47995188452285487,0.1798611111111111,4,visible_curve
0.4995990376904571,0.18537037037037038,3,visible_curve
0.5192461908580593,0.1913888888888889,4,visible_curve
0.5388933440256616,0.19666666666666666,3,visible_curve
0.5585404971932639,0.2026388888888889,4,visible_curve
0.5809943865276663,0.20833333333333334,4,visible_curve
0.6006415396952687,0.21388888888888888,3,visible_curve
0.6202886928628709,0.21944444444444444,4,visible_curve
0.6399358460304732,0.2248148148148148,3,visible_curve
0.6595829991980754,0.22986111111111113,4,visible_curve
0.6792301523656775,0.23537037037037037,3,visible_curve
0.6988773055332799,0.24027777777777778,4,visible_curve
0.7213311948676824,0.24638888888888888,4,visible_curve
0.7409783480352847,0.2512962962962963,3,visible_curve
0.7606255012028869,0.2563888888888889,4,visible_curve
0.7802726543704891,0.26092592592592595,3,visible_curve
