B_T,M_muB_per_Yb,M_err_muB_per_Yb,T_sample_K,moment_column,mass_mg,source_file
0.323199,0.0808747,8.22975e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.329137,0.082553,6.99071e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.336818,0.0842623,9.91465e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.343781,0.0860646,8.34478e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.350406,0.0878145,8.55616e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.357383,0.0895223,7.86003e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.364379,0.091279,7.89962e-05,2.4999,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.371745,0.0930155,8.18588e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.380149,0.0947516,8.20073e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.38503,0.0965232,7.62197e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.393761,0.098233,7.66826e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.401098,0.0999727,7.72441e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.407042,0.101716,7.587e-05,2.5003,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.412974,0.103475,8.17851e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.421352,0.105193,7.53727e-05,2.5000,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.443385,0.108636,8.96694e-05,2.5001,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.444084,0.110427,7.88398e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
0.447929,0.112155,8.50016e-05,2.5002,Moment (emu),7.70,YZGO_BperpC_7.7MG_2.5K_06242026.DAT
