# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
4.860119e-01 4.415745e-03 -3.280000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.840515e-02 1.900420e-03 -3.280000e-01 7.500000e-02 5.000000e-01 0.000000e+00
1.225512e-02 7.028809e-04 -3.280000e-01 1.250000e-01 5.000000e-01 0.000000e+00
9.797672e-03 6.324385e-04 -3.280000e-01 1.750000e-01 5.000000e-01 0.000000e+00
8.690192e-03 5.940507e-04 -3.280000e-01 2.250000e-01 5.000000e-01 0.000000e+00
9.630756e-03 6.216644e-04 -3.280000e-01 2.750000e-01 5.000000e-01 0.000000e+00
7.716955e-03 5.598484e-04 -3.280000e-01 3.250000e-01 5.000000e-01 0.000000e+00
8.282385e-03 5.715407e-04 -3.280000e-01 3.750000e-01 5.000000e-01 0.000000e+00
6.655939e-03 5.075120e-04 -3.280000e-01 4.250000e-01 5.000000e-01 0.000000e+00
7.648621e-03 5.435654e-04 -3.280000e-01 4.750000e-01 5.000000e-01 0.000000e+00
6.729491e-03 5.072559e-04 -3.280000e-01 5.250000e-01 5.000000e-01 0.000000e+00
5.672238e-03 4.662567e-04 -3.280000e-01 5.750000e-01 5.000000e-01 0.000000e+00
5.682982e-03 4.640149e-04 -3.280000e-01 6.250000e-01 5.000000e-01 0.000000e+00
6.043079e-03 4.747909e-04 -3.280000e-01 6.750000e-01 5.000000e-01 0.000000e+00
6.134204e-03 4.790024e-04 -3.280000e-01 7.250000e-01 5.000000e-01 0.000000e+00
5.255841e-03 4.379884e-04 -3.280000e-01 7.750000e-01 5.000000e-01 0.000000e+00
5.821747e-03 4.574014e-04 -3.280000e-01 8.250000e-01 5.000000e-01 0.000000e+00
5.522315e-03 4.393333e-04 -3.280000e-01 8.750000e-01 5.000000e-01 0.000000e+00
4.003223e-03 3.685283e-04 -3.280000e-01 9.250000e-01 5.000000e-01 0.000000e+00
3.841174e-03 3.597608e-04 -3.280000e-01 9.750000e-01 5.000000e-01 0.000000e+00
3.744232e-03 3.570002e-04 -3.280000e-01 1.025000e+00 5.000000e-01 0.000000e+00
2.963958e-03 3.196136e-04 -3.280000e-01 1.075000e+00 5.000000e-01 0.000000e+00
3.411948e-03 3.411968e-04 -3.280000e-01 1.125000e+00 5.000000e-01 0.000000e+00
2.908719e-03 3.136568e-04 -3.280000e-01 1.175000e+00 5.000000e-01 0.000000e+00
2.578673e-03 2.957955e-04 -3.280000e-01 1.225000e+00 5.000000e-01 0.000000e+00
1.682641e-03 2.379629e-04 -3.280000e-01 1.275000e+00 5.000000e-01 0.000000e+00
1.210762e-03 2.017948e-04 -3.280000e-01 1.325000e+00 5.000000e-01 0.000000e+00
1.397385e-03 2.156224e-04 -3.280000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.521310e-03 2.243062e-04 -3.280000e-01 1.425000e+00 5.000000e-01 0.000000e+00
1.442867e-03 2.175213e-04 -3.280000e-01 1.475000e+00 5.000000e-01 0.000000e+00
9.032489e-04 1.706991e-04 -3.280000e-01 1.525000e+00 5.000000e-01 0.000000e+00
1.729254e-03 2.353242e-04 -3.280000e-01 1.575000e+00 5.000000e-01 0.000000e+00
7.609145e-04 1.553224e-04 -3.280000e-01 1.625000e+00 5.000000e-01 0.000000e+00
3.723213e-04 1.074810e-04 -3.280000e-01 1.675000e+00 5.000000e-01 0.000000e+00
8.642005e-04 1.633205e-04 -3.280000e-01 1.725000e+00 5.000000e-01 0.000000e+00
6.063976e-04 1.355954e-04 -3.280000e-01 1.775000e+00 5.000000e-01 0.000000e+00
6.616717e-04 1.410701e-04 -3.280000e-01 1.825000e+00 5.000000e-01 0.000000e+00
5.273017e-04 1.242867e-04 -3.280000e-01 1.875000e+00 5.000000e-01 0.000000e+00
4.052138e-04 1.082998e-04 -3.280000e-01 1.925000e+00 5.000000e-01 0.000000e+00
4.549132e-04 1.137305e-04 -3.280000e-01 1.975000e+00 5.000000e-01 0.000000e+00
6.683257e-04 1.364234e-04 -3.280000e-01 2.025000e+00 5.000000e-01 0.000000e+00
4.975659e-04 1.172791e-04 -3.280000e-01 2.075000e+00 5.000000e-01 0.000000e+00
2.158294e-04 7.630787e-05 -3.280000e-01 2.125000e+00 5.000000e-01 0.000000e+00
2.660837e-04 8.414595e-05 -3.280000e-01 2.175000e+00 5.000000e-01 0.000000e+00
2.606836e-04 8.243736e-05 -3.280000e-01 2.225000e+00 5.000000e-01 0.000000e+00
3.119568e-04 9.005567e-05 -3.280000e-01 2.275000e+00 5.000000e-01 0.000000e+00
5.687017e-04 1.212510e-04 -3.280000e-01 2.325000e+00 5.000000e-01 0.000000e+00
5.170241e-04 1.156136e-04 -3.280000e-01 2.375000e+00 5.000000e-01 0.000000e+00
6.387876e-04 1.303970e-04 -3.280000e-01 2.425000e+00 5.000000e-01 0.000000e+00
6.610720e-04 1.349439e-04 -3.280000e-01 2.475000e+00 5.000000e-01 0.000000e+00
2.286493e-04 8.084281e-05 -3.280000e-01 2.525000e+00 5.000000e-01 0.000000e+00
3.414441e-04 9.856925e-05 -3.280000e-01 2.575000e+00 5.000000e-01 0.000000e+00
5.553355e-04 1.241796e-04 -3.280000e-01 2.625000e+00 5.000000e-01 0.000000e+00
5.921043e-04 1.262452e-04 -3.280000e-01 2.675000e+00 5.000000e-01 0.000000e+00
8.263232e-04 1.460848e-04 -3.280000e-01 2.725000e+00 5.000000e-01 0.000000e+00
8.386970e-04 1.438455e-04 -3.280000e-01 2.775000e+00 5.000000e-01 0.000000e+00
8.025223e-04 1.376463e-04 -3.280000e-01 2.825000e+00 5.000000e-01 0.000000e+00
8.467501e-04 1.373766e-04 -3.280000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.835750e-01 4.400147e-03 -3.180000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.986358e-02 1.902970e-03 -3.180000e-01 7.500000e-02 5.000000e-01 0.000000e+00
1.112721e-02 6.722212e-04 -3.180000e-01 1.250000e-01 5.000000e-01 0.000000e+00
9.608458e-03 6.228253e-04 -3.180000e-01 1.750000e-01 5.000000e-01 0.000000e+00
1.116809e-02 6.722416e-04 -3.180000e-01 2.250000e-01 5.000000e-01 0.000000e+00
9.548418e-03 6.163495e-04 -3.180000e-01 2.750000e-01 5.000000e-01 0.000000e+00
8.648376e-03 5.884492e-04 -3.180000e-01 3.250000e-01 5.000000e-01 0.000000e+00
6.496709e-03 5.073093e-04 -3.180000e-01 3.750000e-01 5.000000e-01 0.000000e+00
7.241323e-03 5.281293e-04 -3.180000e-01 4.250000e-01 5.000000e-01 0.000000e+00
8.339278e-03 5.648091e-04 -3.180000e-01 4.750000e-01 5.000000e-01 0.000000e+00
8.566180e-03 5.698158e-04 -3.180000e-01 5.250000e-01 5.000000e-01 0.000000e+00
7.000826e-03 5.133269e-04 -3.180000e-01 5.750000e-01 5.000000e-01 0.000000e+00
6.264406e-03 4.862139e-04 -3.180000e-01 6.250000e-01 5.000000e-01 0.000000e+00
4.925821e-03 4.287390e-04 -3.180000e-01 6.750000e-01 5.000000e-01 0.000000e+00
5.546267e-03 4.528528e-04 -3.180000e-01 7.250000e-01 5.000000e-01 0.000000e+00
5.149881e-03 4.352463e-04 -3.180000e-01 7.750000e-01 5.000000e-01 0.000000e+00
5.768182e-03 4.560169e-04 -3.180000e-01 8.250000e-01 5.000000e-01 0.000000e+00
5.618240e-03 4.469651e-04 -3.180000e-01 8.750000e-01 5.000000e-01 0.000000e+00
4.988133e-03 4.185966e-04 -3.180000e-01 9.250000e-01 5.000000e-01 0.000000e+00
3.138720e-03 3.272358e-04 -3.180000e-01 9.750000e-01 5.000000e-01 0.000000e+00
4.453325e-03 3.847105e-04 -3.180000e-01 1.025000e+00 5.000000e-01 0.000000e+00
2.999163e-03 3.161410e-04 -3.180000e-01 1.075000e+00 5.000000e-01 0.000000e+00
2.792702e-03 3.047103e-04 -3.180000e-01 1.125000e+00 5.000000e-01 0.000000e+00
2.485260e-03 2.889070e-04 -3.180000e-01 1.175000e+00 5.000000e-01 0.000000e+00
2.277210e-03 2.761540e-04 -3.180000e-01 1.225000e+00 5.000000e-01 0.000000e+00
1.415978e-03 2.184916e-04 -3.180000e-01 1.275000e+00 5.000000e-01 0.000000e+00
1.606335e-03 2.318556e-04 -3.180000e-01 1.325000e+00 5.000000e-01 0.000000e+00
1.262196e-03 2.047566e-04 -3.180000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.769369e-03 2.407820e-04 -3.180000e-01 1.425000e+00 5.000000e-01 0.000000e+00
1.235109e-03 2.003626e-04 -3.180000e-01 1.475000e+00 5.000000e-01 0.000000e+00
8.375887e-04 1.642656e-04 -3.180000e-01 1.525000e+00 5.000000e-01 0.000000e+00
1.020145e-03 1.803392e-04 -3.180000e-01 1.575000e+00 5.000000e-01 0.000000e+00
1.068676e-03 1.832778e-04 -3.180000e-01 1.625000e+00 5.000000e-01 0.000000e+00
4.337717e-04 1.159314e-04 -3.180000e-01 1.675000e+00 5.000000e-01 0.000000e+00
1.845338e-04 7.533617e-05 -3.180000e-01 1.725000e+00 5.000000e-01 0.000000e+00
8.486704e-04 1.603848e-04 -3.180000e-01 1.775000e+00 5.000000e-01 0.000000e+00
4.146366e-04 1.108177e-04 -3.180000e-01 1.825000e+00 5.000000e-01 0.000000e+00
6.462313e-04 1.377784e-04 -3.180000e-01 1.875000e+00 5.000000e-01 0.000000e+00
3.443961e-04 9.941976e-05 -3.180000e-01 1.925000e+00 5.000000e-01 0.000000e+00
5.651087e-04 1.263647e-04 -3.180000e-01 1.975000e+00 5.000000e-01 0.000000e+00
5.002504e-04 1.179109e-04 -3.180000e-01 2.025000e+00 5.000000e-01 0.000000e+00
8.749392e-04 1.546706e-04 -3.180000e-01 2.075000e+00 5.000000e-01 0.000000e+00
1.621884e-04 6.621356e-05 -3.180000e-01 2.125000e+00 5.000000e-01 0.000000e+00
4.243293e-04 1.060836e-04 -3.180000e-01 2.175000e+00 5.000000e-01 0.000000e+00
5.267512e-04 1.177865e-04 -3.180000e-01 2.225000e+00 5.000000e-01 0.000000e+00
2.088607e-04 7.384458e-05 -3.180000e-01 2.275000e+00 5.000000e-01 0.000000e+00
1.551901e-04 6.335846e-05 -3.180000e-01 2.325000e+00 5.000000e-01 0.000000e+00
3.067029e-04 8.853814e-05 -3.180000e-01 2.375000e+00 5.000000e-01 0.000000e+00
