# Intensity Error [H,-0.5H,0] DeltaE [0,0,L] [0,K,0]
#  shape: 67x80x1x1
3.218153e-01 2.781310e-03 -3.230000e-01 2.500000e-02 0.000000e+00 5.000000e-01
2.028572e-01 2.218644e-03 -3.230000e-01 7.500000e-02 0.000000e+00 5.000000e-01
7.239201e-02 1.337844e-03 -3.230000e-01 1.250000e-01 0.000000e+00 5.000000e-01
3.471077e-02 9.204811e-04 -3.230000e-01 1.750000e-01 0.000000e+00 5.000000e-01
1.190047e-02 5.512794e-04 -3.230000e-01 2.250000e-01 0.000000e+00 5.000000e-01
4.101462e-03 3.242494e-04 -3.230000e-01 2.750000e-01 0.000000e+00 5.000000e-01
1.083903e-03 1.672501e-04 -3.230000e-01 3.250000e-01 0.000000e+00 5.000000e-01
1.418248e-03 1.929993e-04 -3.230000e-01 3.750000e-01 0.000000e+00 5.000000e-01
1.777900e-03 2.156024e-04 -3.230000e-01 4.250000e-01 0.000000e+00 5.000000e-01
1.125704e-03 1.737001e-04 -3.230000e-01 4.750000e-01 0.000000e+00 5.000000e-01
8.562811e-04 1.513708e-04 -3.230000e-01 5.250000e-01 0.000000e+00 5.000000e-01
1.030732e-03 1.672071e-04 -3.230000e-01 5.750000e-01 0.000000e+00 5.000000e-01
1.710533e-03 2.172382e-04 -3.230000e-01 6.250000e-01 0.000000e+00 5.000000e-01
1.053788e-03 1.709472e-04 -3.230000e-01 6.750000e-01 0.000000e+00 5.000000e-01
1.715302e-03 2.178439e-04 -3.230000e-01 7.250000e-01 0.000000e+00 5.000000e-01
1.338059e-03 1.931324e-04 -3.230000e-01 7.750000e-01 0.000000e+00 5.000000e-01
1.876344e-03 2.275404e-04 -3.230000e-01 8.250000e-01 0.000000e+00 5.000000e-01
2.385605e-03 2.572470e-04 -3.230000e-01 8.750000e-01 0.000000e+00 5.000000e-01
2.193922e-03 2.484133e-04 -3.230000e-01 9.250000e-01 0.000000e+00 5.000000e-01
