# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
4.720841e-03 4.345898e-04 -3.180000e-01 3.250000e-01 5.000000e-01 0.000000e+00
4.132655e-03 4.052414e-04 -3.180000e-01 3.750000e-01 5.000000e-01 0.000000e+00
4.573650e-03 4.210398e-04 -3.180000e-01 4.250000e-01 5.000000e-01 0.000000e+00
4.636726e-03 4.232744e-04 -3.180000e-01 4.750000e-01 5.000000e-01 0.000000e+00
2.840231e-03 3.301713e-04 -3.180000e-01 5.250000e-01 5.000000e-01 0.000000e+00
3.205532e-03 3.497534e-04 -3.180000e-01 5.750000e-01 5.000000e-01 0.000000e+00
3.599996e-03 3.713125e-04 -3.180000e-01 6.250000e-01 5.000000e-01 0.000000e+00
3.409572e-03 3.594018e-04 -3.180000e-01 6.750000e-01 5.000000e-01 0.000000e+00
3.832394e-03 3.794655e-04 -3.180000e-01 7.250000e-01 5.000000e-01 0.000000e+00
2.543166e-03 3.084052e-04 -3.180000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.859759e-03 3.238051e-04 -3.180000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.099347e-03 2.756586e-04 -3.180000e-01 8.750000e-01 5.000000e-01 0.000000e+00
1.665002e-03 2.454924e-04 -3.180000e-01 9.250000e-01 5.000000e-01 0.000000e+00
2.399967e-03 2.954174e-04 -3.180000e-01 9.750000e-01 5.000000e-01 0.000000e+00
2.300400e-03 2.875515e-04 -3.180000e-01 1.025000e+00 5.000000e-01 0.000000e+00
1.922030e-03 2.615561e-04 -3.180000e-01 1.075000e+00 5.000000e-01 0.000000e+00
1.610279e-03 2.374242e-04 -3.180000e-01 1.125000e+00 5.000000e-01 0.000000e+00
8.353898e-04 1.705244e-04 -3.180000e-01 1.175000e+00 5.000000e-01 0.000000e+00
9.569421e-04 1.808466e-04 -3.180000e-01 1.225000e+00 5.000000e-01 0.000000e+00
6.154158e-04 1.450557e-04 -3.180000e-01 1.275000e+00 5.000000e-01 0.000000e+00
4.737661e-04 1.266198e-04 -3.180000e-01 1.325000e+00 5.000000e-01 0.000000e+00
9.376466e-04 1.771994e-04 -3.180000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.580790e-03 2.281694e-04 -3.180000e-01 1.425000e+00 5.000000e-01 0.000000e+00
5.859172e-04 1.381029e-04 -3.180000e-01 1.475000e+00 5.000000e-01 0.000000e+00
7.730445e-04 1.577987e-04 -3.180000e-01 1.525000e+00 5.000000e-01 0.000000e+00
9.560465e-04 1.745514e-04 -3.180000e-01 1.575000e+00 5.000000e-01 0.000000e+00
1.881686e-04 7.682014e-05 -3.180000e-01 1.625000e+00 5.000000e-01 0.000000e+00
1.871277e-04 7.639462e-05 -3.180000e-01 1.675000e+00 5.000000e-01 0.000000e+00
1.045035e-03 1.792241e-04 -3.180000e-01 1.725000e+00 5.000000e-01 0.000000e+00
6.064292e-04 1.356035e-04 -3.180000e-01 1.775000e+00 5.000000e-01 0.000000e+00
4.152513e-04 1.109816e-04 -3.180000e-01 1.825000e+00 5.000000e-01 0.000000e+00
4.696393e-04 1.174106e-04 -3.180000e-01 1.875000e+00 5.000000e-01 0.000000e+00
3.461546e-04 9.992697e-05 -3.180000e-01 1.925000e+00 5.000000e-01 0.000000e+00
6.243326e-04 1.331107e-04 -3.180000e-01 1.975000e+00 5.000000e-01 0.000000e+00
6.152880e-04 1.311810e-04 -3.180000e-01 2.025000e+00 5.000000e-01 0.000000e+00
4.398537e-04 1.099658e-04 -3.180000e-01 2.075000e+00 5.000000e-01 0.000000e+00
3.243634e-04 9.363786e-05 -3.180000e-01 2.125000e+00 5.000000e-01 0.000000e+00
5.274288e-04 1.179396e-04 -3.180000e-01 2.175000e+00 5.000000e-01 0.000000e+00
7.262447e-04 1.372505e-04 -3.180000e-01 2.225000e+00 5.000000e-01 0.000000e+00
5.559985e-04 1.185408e-04 -3.180000e-01 2.275000e+00 5.000000e-01 0.000000e+00
5.464696e-04 1.165103e-04 -3.180000e-01 2.325000e+00 5.000000e-01 0.000000e+00
6.756675e-04 1.276937e-04 -3.180000e-01 2.375000e+00 5.000000e-01 0.000000e+00
4.238977e-04 9.991558e-05 -3.180000e-01 2.425000e+00 5.000000e-01 0.000000e+00
3.667497e-04 9.168927e-05 -3.180000e-01 2.475000e+00 5.000000e-01 0.000000e+00
6.210552e-04 1.173722e-04 -3.180000e-01 2.525000e+00 5.000000e-01 0.000000e+00
3.448009e-04 8.620421e-05 -3.180000e-01 2.575000e+00 5.000000e-01 0.000000e+00
3.737106e-04 8.808769e-05 -3.180000e-01 2.625000e+00 5.000000e-01 0.000000e+00
7.639670e-04 1.239392e-04 -3.180000e-01 2.675000e+00 5.000000e-01 0.000000e+00
4.242563e-04 9.045928e-05 -3.180000e-01 2.725000e+00 5.000000e-01 0.000000e+00
7.400061e-04 1.170167e-04 -3.180000e-01 2.775000e+00 5.000000e-01 0.000000e+00
8.389787e-04 1.211070e-04 -3.180000e-01 2.825000e+00 5.000000e-01 0.000000e+00
1.005820e-03 1.298700e-04 -3.180000e-01 2.875000e+00 5.000000e-01 0.000000e+00
4.673662e-01 4.351416e-03 -3.080000e-01 2.500000e-02 5.000000e-01 0.000000e+00
8.944732e-02 1.890767e-03 -3.080000e-01 7.500000e-02 5.000000e-01 0.000000e+00
8.364613e-03 5.827917e-04 -3.080000e-01 1.250000e-01 5.000000e-01 0.000000e+00
7.028300e-03 5.297793e-04 -3.080000e-01 1.750000e-01 5.000000e-01 0.000000e+00
5.598319e-03 4.731453e-04 -3.080000e-01 2.250000e-01 5.000000e-01 0.000000e+00
4.966351e-03 4.459926e-04 -3.080000e-01 2.750000e-01 5.000000e-01 0.000000e+00
3.807871e-03 3.886405e-04 -3.080000e-01 3.250000e-01 5.000000e-01 0.000000e+00
4.903928e-03 4.403869e-04 -3.080000e-01 3.750000e-01 5.000000e-01 0.000000e+00
4.260446e-03 4.062187e-04 -3.080000e-01 4.250000e-01 5.000000e-01 0.000000e+00
4.767622e-03 4.281464e-04 -3.080000e-01 4.750000e-01 5.000000e-01 0.000000e+00
4.172326e-03 3.978169e-04 -3.080000e-01 5.250000e-01 5.000000e-01 0.000000e+00
