# Intensity Error [H,-0.5H,0] DeltaE [0,0,L] [0,K,0]
#  shape: 67x80x1x1
6.506608e-04 1.084447e-04 -3.230000e-01 3.225000e+00 0.000000e+00 5.000000e-01
7.100269e-04 1.122666e-04 -3.230000e-01 3.275000e+00 0.000000e+00 5.000000e-01
2.430693e-04 6.496442e-05 -3.230000e-01 3.325000e+00 0.000000e+00 5.000000e-01
4.452680e-04 8.732562e-05 -3.230000e-01 3.375000e+00 0.000000e+00 5.000000e-01
2.674438e-04 6.686172e-05 -3.230000e-01 3.425000e+00 0.000000e+00 5.000000e-01
1.954359e-04 5.641821e-05 -3.230000e-01 3.475000e+00 0.000000e+00 5.000000e-01
1.911109e-04 5.517052e-05 -3.230000e-01 3.525000e+00 0.000000e+00 5.000000e-01
2.810662e-04 6.624888e-05 -3.230000e-01 3.575000e+00 0.000000e+00 5.000000e-01
3.908947e-04 7.666374e-05 -3.230000e-01 3.625000e+00 0.000000e+00 5.000000e-01
3.749624e-04 7.353865e-05 -3.230000e-01 3.675000e+00 0.000000e+00 5.000000e-01
5.450696e-04 8.618504e-05 -3.230000e-01 3.725000e+00 0.000000e+00 5.000000e-01
2.810778e-04 5.992768e-05 -3.230000e-01 3.775000e+00 0.000000e+00 5.000000e-01
5.231735e-04 7.887382e-05 -3.230000e-01 3.825000e+00 0.000000e+00 5.000000e-01
4.229053e-04 6.860785e-05 -3.230000e-01 3.875000e+00 0.000000e+00 5.000000e-01
3.940369e-04 6.392396e-05 -3.230000e-01 3.925000e+00 0.000000e+00 5.000000e-01
3.967975e-04 6.274217e-05 -3.230000e-01 3.975000e+00 0.000000e+00 5.000000e-01
3.240537e-01 2.491692e-03 -3.030000e-01 2.500000e-02 0.000000e+00 5.000000e-01
2.009242e-01 1.951182e-03 -3.030000e-01 7.500000e-02 0.000000e+00 5.000000e-01
6.916499e-02 1.156937e-03 -3.030000e-01 1.250000e-01 0.000000e+00 5.000000e-01
3.066805e-02 7.705646e-04 -3.030000e-01 1.750000e-01 0.000000e+00 5.000000e-01
1.003235e-02 4.425086e-04 -3.030000e-01 2.250000e-01 0.000000e+00 5.000000e-01
3.879729e-03 2.799957e-04 -3.030000e-01 2.750000e-01 0.000000e+00 5.000000e-01
1.253183e-03 1.591546e-04 -3.030000e-01 3.250000e-01 0.000000e+00 5.000000e-01
6.611395e-04 1.168742e-04 -3.030000e-01 3.750000e-01 0.000000e+00 5.000000e-01
6.690137e-04 1.182662e-04 -3.030000e-01 4.250000e-01 0.000000e+00 5.000000e-01
