# Intensity Error [-0.5K,K,0] DeltaE [0,0,L] [H,0,0]
#  shape: 67x80x1x1
1.090157e-04 5.450814e-05 -3.230000e-01 3.225000e+00 0.000000e+00 5.000000e-01
6.397798e-04 1.305964e-04 -3.230000e-01 3.275000e+00 0.000000e+00 5.000000e-01
2.097817e-04 7.417014e-05 -3.230000e-01 3.325000e+00 0.000000e+00 5.000000e-01
4.114967e-04 1.028750e-04 -3.230000e-01 3.375000e+00 0.000000e+00 5.000000e-01
1.998301e-04 7.065154e-05 -3.230000e-01 3.425000e+00 0.000000e+00 5.000000e-01
1.963885e-04 6.943555e-05 -3.230000e-01 3.475000e+00 0.000000e+00 5.000000e-01
4.807257e-04 1.074955e-04 -3.230000e-01 3.525000e+00 0.000000e+00 5.000000e-01
3.266026e-04 8.728881e-05 -3.230000e-01 3.575000e+00 0.000000e+00 5.000000e-01
1.814216e-04 6.414232e-05 -3.230000e-01 3.625000e+00 0.000000e+00 5.000000e-01
2.675254e-04 7.723003e-05 -3.230000e-01 3.675000e+00 0.000000e+00 5.000000e-01
4.390549e-04 9.817854e-05 -3.230000e-01 3.725000e+00 0.000000e+00 5.000000e-01
3.018587e-04 8.067664e-05 -3.230000e-01 3.775000e+00 0.000000e+00 5.000000e-01
4.619331e-04 9.848776e-05 -3.230000e-01 3.825000e+00 0.000000e+00 5.000000e-01
3.243447e-04 8.108974e-05 -3.230000e-01 3.875000e+00 0.000000e+00 5.000000e-01
4.962505e-04 9.732495e-05 -3.230000e-01 3.925000e+00 0.000000e+00 5.000000e-01
5.494184e-04 1.003147e-04 -3.230000e-01 3.975000e+00 0.000000e+00 5.000000e-01
3.349265e-01 3.366142e-03 -3.030000e-01 2.500000e-02 0.000000e+00 5.000000e-01
2.096195e-01 2.645583e-03 -3.030000e-01 7.500000e-02 0.000000e+00 5.000000e-01
8.171125e-02 1.665153e-03 -3.030000e-01 1.250000e-01 0.000000e+00 5.000000e-01
4.230842e-02 1.197623e-03 -3.030000e-01 1.750000e-01 0.000000e+00 5.000000e-01
1.962891e-02 8.178724e-04 -3.030000e-01 2.250000e-01 0.000000e+00 5.000000e-01
1.148207e-02 6.359336e-04 -3.030000e-01 2.750000e-01 0.000000e+00 5.000000e-01
8.441080e-03 5.448700e-04 -3.030000e-01 3.250000e-01 0.000000e+00 5.000000e-01
6.504051e-03 4.821131e-04 -3.030000e-01 3.750000e-01 0.000000e+00 5.000000e-01
7.085894e-03 5.061359e-04 -3.030000e-01 4.250000e-01 0.000000e+00 5.000000e-01
5.997253e-03 4.626986e-04 -3.030000e-01 4.750000e-01 0.000000e+00 5.000000e-01
6.345189e-03 4.782873e-04 -3.030000e-01 5.250000e-01 0.000000e+00 5.000000e-01
7.357799e-03 5.202758e-04 -3.030000e-01 5.750000e-01 0.000000e+00 5.000000e-01
5.407709e-03 4.475457e-04 -3.030000e-01 6.250000e-01 0.000000e+00 5.000000e-01
4.815850e-03 4.256656e-04 -3.030000e-01 6.750000e-01 0.000000e+00 5.000000e-01
6.833774e-03 5.065538e-04 -3.030000e-01 7.250000e-01 0.000000e+00 5.000000e-01
5.589480e-03 4.594533e-04 -3.030000e-01 7.750000e-01 0.000000e+00 5.000000e-01
4.947967e-03 4.339662e-04 -3.030000e-01 8.250000e-01 0.000000e+00 5.000000e-01
4.663232e-03 4.221899e-04 -3.030000e-01 8.750000e-01 0.000000e+00 5.000000e-01
4.121008e-03 4.002683e-04 -3.030000e-01 9.250000e-01 0.000000e+00 5.000000e-01
2.995870e-03 3.436505e-04 -3.030000e-01 9.750000e-01 0.000000e+00 5.000000e-01
4.018891e-03 4.018898e-04 -3.030000e-01 1.025000e+00 0.000000e+00 5.000000e-01
4.229847e-03 4.108398e-04 -3.030000e-01 1.075000e+00 0.000000e+00 5.000000e-01
