# Intensity Error [H,-0.5H,0] DeltaE [0,K,0] [0,0,L]
#  shape: 134x58x1x1
1.516539e-03 2.460158e-04 -3.180000e-01 3.250000e-01 5.000000e-01 0.000000e+00
3.957865e-04 1.251590e-04 -3.180000e-01 3.750000e-01 5.000000e-01 0.000000e+00
1.235673e-03 2.184389e-04 -3.180000e-01 4.250000e-01 5.000000e-01 0.000000e+00
1.388102e-03 2.313510e-04 -3.180000e-01 4.750000e-01 5.000000e-01 0.000000e+00
1.764040e-03 2.600940e-04 -3.180000e-01 5.250000e-01 5.000000e-01 0.000000e+00
1.067796e-03 2.017953e-04 -3.180000e-01 5.750000e-01 5.000000e-01 0.000000e+00
1.606871e-03 2.479468e-04 -3.180000e-01 6.250000e-01 5.000000e-01 0.000000e+00
1.515622e-03 2.396417e-04 -3.180000e-01 6.750000e-01 5.000000e-01 0.000000e+00
2.403420e-03 3.004286e-04 -3.180000e-01 7.250000e-01 5.000000e-01 0.000000e+00
1.944968e-03 2.697198e-04 -3.180000e-01 7.750000e-01 5.000000e-01 0.000000e+00
2.273695e-03 2.887608e-04 -3.180000e-01 8.250000e-01 5.000000e-01 0.000000e+00
2.824412e-03 3.198031e-04 -3.180000e-01 8.750000e-01 5.000000e-01 0.000000e+00
2.247078e-03 2.853804e-04 -3.180000e-01 9.250000e-01 5.000000e-01 0.000000e+00
3.124340e-03 3.369077e-04 -3.180000e-01 9.750000e-01 5.000000e-01 0.000000e+00
3.089907e-03 3.331945e-04 -3.180000e-01 1.025000e+00 5.000000e-01 0.000000e+00
3.132795e-03 3.339589e-04 -3.180000e-01 1.075000e+00 5.000000e-01 0.000000e+00
3.009917e-03 3.245692e-04 -3.180000e-01 1.125000e+00 5.000000e-01 0.000000e+00
1.949812e-03 2.605561e-04 -3.180000e-01 1.175000e+00 5.000000e-01 0.000000e+00
2.257405e-03 2.778690e-04 -3.180000e-01 1.225000e+00 5.000000e-01 0.000000e+00
2.528652e-03 2.939516e-04 -3.180000e-01 1.275000e+00 5.000000e-01 0.000000e+00
1.352673e-03 2.138776e-04 -3.180000e-01 1.325000e+00 5.000000e-01 0.000000e+00
2.338657e-03 2.795244e-04 -3.180000e-01 1.375000e+00 5.000000e-01 0.000000e+00
1.247682e-03 2.024020e-04 -3.180000e-01 1.425000e+00 5.000000e-01 0.000000e+00
1.821781e-03 2.434470e-04 -3.180000e-01 1.475000e+00 5.000000e-01 0.000000e+00
1.479940e-03 2.182067e-04 -3.180000e-01 1.525000e+00 5.000000e-01 0.000000e+00
2.102893e-03 2.588502e-04 -3.180000e-01 1.575000e+00 5.000000e-01 0.000000e+00
1.444444e-03 2.129730e-04 -3.180000e-01 1.625000e+00 5.000000e-01 0.000000e+00
1.303342e-03 2.011118e-04 -3.180000e-01 1.675000e+00 5.000000e-01 0.000000e+00
1.413150e-03 2.083589e-04 -3.180000e-01 1.725000e+00 5.000000e-01 0.000000e+00
1.211292e-03 1.915238e-04 -3.180000e-01 1.775000e+00 5.000000e-01 0.000000e+00
8.880581e-04 1.621377e-04 -3.180000e-01 1.825000e+00 5.000000e-01 0.000000e+00
7.063689e-04 1.441888e-04 -3.180000e-01 1.875000e+00 5.000000e-01 0.000000e+00
1.618040e-03 2.162225e-04 -3.180000e-01 1.925000e+00 5.000000e-01 0.000000e+00
1.253808e-03 1.890214e-04 -3.180000e-01 1.975000e+00 5.000000e-01 0.000000e+00
7.830107e-04 1.479762e-04 -3.180000e-01 2.025000e+00 5.000000e-01 0.000000e+00
5.486966e-04 1.226947e-04 -3.180000e-01 2.075000e+00 5.000000e-01 0.000000e+00
1.291679e-03 1.864417e-04 -3.180000e-01 2.125000e+00 5.000000e-01 0.000000e+00
9.981395e-04 1.619225e-04 -3.180000e-01 2.175000e+00 5.000000e-01 0.000000e+00
6.725182e-04 1.318952e-04 -3.180000e-01 2.225000e+00 5.000000e-01 0.000000e+00
4.029657e-04 1.007447e-04 -3.180000e-01 2.275000e+00 5.000000e-01 0.000000e+00
