[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3991458662.70676,06/24/2026,10:30 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1372,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM914,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,880,PREAMP_SERIAL_NUMBER
INFO,1010,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3991458717.49,2.49966871738434,2206.68054199219,0.00494530006859183,6.8286387021527E-6,1,0.999253354069792,40.0298881530762,2.00003002174329,12.8499995917082,0.0495941307837873,0.00926368016104888,0.25,3.05819275655943E-5,0.00491110974634636,5.47598446200505E-5,2.50019836425781,2.50019836425781,2177.16381835938,2236.197265625,47.6715233878897,18.2546291194578,3.66636943817139,0,0,0,40,2.48439621925354,1,6,1,2.01812744140625,41.055721282959,,,,,,,,,,,,,,,,
,3991458718.383,2.49928057193756,2274.45336914062,0.00510596569179879,7.2761902661843E-6,1,0.999253354069792,40.0298881530762,2.00008458530547,12.8600001335144,0.0512085106806486,0.00955594446479253,0.25,3.06588187074082E-5,0.00507068841094826,5.56505876102694E-5,2.49913907051086,2.49913907051086,2243.4697265625,2305.43701171875,47.5105079129281,18.2510930219738,3.66584777832031,0,0,0,40,2.48432230949402,1,6,1,2.02041625976562,43.0107536315918,,,,,,,,,,,,,,,,
,3991458719.366,2.49932968616486,2340.47192382813,0.00525330089255368,6.73350283506916E-6,1,0.999253354069792,40.0298881530762,2.00001060496444,12.8499995917082,0.0526834985415684,0.00983699458621611,0.25,3.20807173964365E-5,0.00521702249799606,5.78121373716638E-5,2.49942207336426,2.49942207336426,2305.43701171875,2375.5068359375,48.0724988182551,18.2539675210026,3.6657886505127,0,0,0,40,2.48362970352173,1,6,1,2.01736450195313,42.5219955444336,,,,,,,,,,,,,,,,
,3991458720.4165,2.49943733215332,2414.03857421875,0.00541103143151252,7.24930530584675E-6,1,0.999253354069792,40.0298881530762,1.99997092333903,12.8600001335144,0.0542665701068899,0.0101209066682877,0.25,3.18932186425313E-5,0.00537369197528607,5.84307362599233E-5,2.49923729896545,2.49923729896545,2382.71850585938,2445.35864257813,47.7231108701589,18.2541842437603,3.66614007949829,0,0,0,40,2.48443794250488,1,6,1,2.01309204101562,41.055721282959,,,,,,,,,,,,,,,,
,3991458721.473,2.49973499774933,2487.03686523438,0.00556136751095164,7.11677213069089E-6,1,0.999253354069792,40.0298881530762,2.00001592874629,12.8600001335144,0.0557731471082997,0.0104164840372601,0.25,3.4159585899725E-5,0.00552300692664702,6.14511613400405E-5,2.49948978424072,2.49948978424072,2458.89794921875,2515.17578125,47.2869621564281,18.2532088017409,3.66602563858032,0,0,0,40,2.48470449447632,1,6,1,2.03964233398438,41.055721282959,,,,,,,,,,,,,,,,
,3991458722.508,2.50008821487427,2560.72119140625,0.00571645970559263,6.82453071835669E-6,1,0.999253354069792,40.0298881530762,1.99998549931173,12.8600001335144,0.0573294670017821,0.0106983787694602,0.25,3.42397101023759E-5,0.00567705780010206,6.2325725803586E-5,2.49998021125793,2.49998021125793,2529.27075195313,2592.17163085938,47.3526189520435,18.2555047334196,3.66567730903625,0,0,0,40,2.48488330841064,1,6,1,2.01858520507813,42.0332374572754,,,,,,,,,,,,,,,,
,3991458723.5065,2.50017833709717,2630.68725585938,0.00587023757779054,6.99545049808807E-6,1,0.999253354069792,40.0298881530762,1.99986367822261,12.8499995917082,0.0588680028954026,0.0109884963994742,0.25,3.54239414532792E-5,0.00582979810447697,6.42904880254251E-5,2.49999117851257,2.49999117851257,2606.19995117187,2655.17456054687,47.4182757476589,18.2567315130939,3.66611099243164,0,0,0,40,2.48505854606628,1,6,1,2.03399658203125,43.49951171875,,,,,,,,,,,,,,,,
,3991458724.486,2.50017511844635,2700.8916015625,0.00602366744263195,7.01436689051994E-6,1,0.999253354069792,40.0298881530762,1.99986367822261,12.8499995917082,0.0604064566804045,0.0112780921776204,0.25,3.65556666319328E-5,0.00598219451407581,6.62029949805853E-5,2.50036549568176,2.50036549568176,2676.26440429687,2725.51879882813,48.0912579027166,18.2567315130939,3.66614413261414,0,0,0,40,2.48533916473389,1,6,1,2.01446533203125,41.5444793701172,,,,,,,,,,,,,,,,
,3991458725.341,2.50000309944153,2760.48767089844,0.00617803325107614,7.05535750649443E-6,1,0.999253354069792,40.0298881530762,1.99986016352356,12.8600001335144,0.0619540759364708,0.0115699295729404,0.25,3.77469587369475E-5,0.00613551772087519,6.81765219001201E-5,2.49998474121094,2.49998474121094,2725.51879882813,2795.45654296875,47.4346899465627,18.2559465591812,3.66602849960327,0,0,0,40,2.48456954956055,1,6,1,2.02301025390625,42.0332374572754,,,,,,,,,,,,,,,,
,3991458726.452,2.49988758563995,2837.40454101562,0.00633273353791798,7.05437567402091E-6,1,0.999253354069792,40.0298881530762,1.99973462220391,12.8499995917082,0.0635041109926339,0.0118470006866627,0.25,3.74653116541377E-5,0.00628918806428581,6.86974108682097E-5,2.50002145767212,2.50002145767212,2809.32958984375,2865.4794921875,47.6308787048897,18.2620065419801,3.66577935218811,0,0,0,40,2.48493027687073,1,6,1,2.01980590820313,42.0332374572754,,,,,,,,,,,,,,,,
