[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3991476112.6924,06/24/2026,3:21 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1372,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM914,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,880,PREAMP_SERIAL_NUMBER
INFO,1010,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3991476144.521,2.49704813957214,576.283905029297,0.00133232345767904,7.58915334727106E-6,1,0.999253354069792,40.0298881530762,2.00208398690933,17.4700003117323,0.0133469313239441,0.00264331889131029,0.25,2.28292835550731E-5,0.00132293323512507,2.9115607568046E-5,2.49756407737732,2.49756407737732,551.849304199219,600.718505859375,47.8403551480435,18.3677736981685,4.68977212905884,0,0,0,40,2.48821878433228,1,6,1,2.03094482421875,40.5669593811035,,,,,,,,,,,,,,,,
,3991476145.426,2.49624717235565,642.77587890625,0.00150058266266825,7.68661013473938E-6,1,0.999253354069792,40.0298881530762,2.00194198884664,17.4700003117323,0.015030817391645,0.00298101403179686,0.25,2.61116200731822E-5,0.00149000879582632,3.31941125380352E-5,2.49653220176697,2.49653220176697,607.660461425781,677.891296386719,48.2663426910243,18.3694466242436,4.68862915039063,0,0,0,40,2.48802399635315,1,6,1,2.04269409179687,40.5669593811035,,,,,,,,,,,,,,,,
,3991476146.549,2.49550116062164,719.460327148438,0.0016661883317426,7.70545554724626E-6,1,0.999253354069792,40.0298881530762,2.00202523381329,17.4700003117323,0.0166902808970286,0.00331049392313093,0.25,2.90217472282986E-5,0.00165445285998497,3.68922777358694E-5,2.49562215805054,2.49562215805054,698.597229003906,740.323425292969,47.4237471472935,18.3716086780274,4.68795537948608,0,0,0,40,2.48843860626221,1,6,1,2.030029296875,40.5669593811035,,,,,,,,,,,,,,,,
,3991476147.396,2.49548625946045,778.790618896484,0.00183194385493569,7.52869112103395E-6,1,0.999253354069792,40.0298881530762,2.00199327285203,17.4700003117323,0.0183503289606248,0.00364035512105739,0.25,3.1960203236372E-5,0.00181904541698747,4.06190749523502E-5,2.49538016319275,2.49538016319275,747.307067871094,810.274169921875,48.2358591787743,18.3662990712295,4.68794679641724,0,0,0,40,2.48992204666138,1,6,1,2.02896118164062,39.1006851196289,,,,,,,,,,,,,,,,
,3991476148.5025,2.49619114398956,859.265472412109,0.00200073820379826,7.71374015790182E-6,1,0.999253354069792,40.0298881530762,2.00200730236048,17.4700003117323,0.0200396818794229,0.00398492469725278,0.25,3.58029125437734E-5,0.00198665411956827,4.52619892916951E-5,2.49559235572815,2.49559235572815,831.239074707031,887.291870117187,47.8411367765628,18.3643791713201,4.68833589553833,0,0,0,40,2.49081826210022,1,6,1,2.04818725585938,39.5894432067871,,,,,,,,,,,,,,,,
,3991476149.5755,2.49713480472565,932.859466552734,0.0021608445081229,7.60934235303603E-6,1,0.999253354069792,40.0298881530762,2.00188849846195,17.4700003117323,0.0216482577418988,0.00426992247246115,0.25,3.53091995121097E-5,0.00214565688224895,4.55572348271111E-5,2.49678993225098,2.49678993225098,908.362426757812,957.356506347656,47.5753830800243,18.3652796659027,4.68860292434692,0,0,0,40,2.49288558959961,1,6,1,2.0220947265625,40.5669593811035,,,,,,,,,,,,,,,,
,3991476150.5685,2.49859774112701,999.340576171875,0.00232615399564424,7.86896702548883E-6,1,0.999253354069792,40.0298881530762,2.0020645757173,17.4700003117323,0.0233096732972339,0.00457888134971282,0.25,3.62011298003328E-5,0.00230982040713299,4.72542696482695E-5,2.4981472492218,2.4981472492218,978.346435546875,1020.33471679688,47.9263342851589,18.3432085108349,4.68874740600586,0,0,0,40,2.49311399459839,1,6,1,2.02133178710938,41.055721282959,,,,,,,,,,,,,,,,
,3991476151.425,2.49937832355499,1062.12463378906,0.00250024027258787,7.47932198919641E-6,1,0.999253354069792,40.0298881530762,2.0021504818432,17.4700003117323,0.0250465822917162,0.0049697287043519,0.25,4.36737104388604E-5,0.00248266847893066,5.55297486287471E-5,2.49904823303223,2.49904823303223,1027.25732421875,1096.99194335938,47.8747468028897,18.3506976249398,4.68967485427856,0,0,0,40,2.49421381950378,1,6,1,2.03109741210938,40.5669593811035,,,,,,,,,,,,,,,,
,3991476152.5155,2.50022280216217,1135.46197509766,0.00266696432415822,7.87683958660956E-6,1,0.999253354069792,40.0298881530762,2.00200859454312,17.4700003117323,0.026713416398489,0.00530996697057033,0.25,4.74883852365093E-5,0.00264822564741828,6.01398347786813E-5,2.49970841407776,2.49970841407776,1110.97875976562,1159.94519042969,47.8786549454858,18.362411366977,4.68993663787842,0,0,0,40,2.49466848373413,1,6,1,2.025146484375,41.055721282959,,,,,,,,,,,,,,,,
,3991476153.482,2.50094604492187,1205.42797851562,0.00283548125083154,7.95597836271649E-6,1,0.999253354069792,40.0298881530762,2.00189023109602,17.4700003117323,0.0284011696116322,0.00563792417126082,0.25,4.97546782851668E-5,0.00281557162060802,6.32219954248419E-5,2.50073719024658,2.50073719024658,1166.96228027344,1243.89367675781,48.1389372423897,18.3684933155759,4.69034671783447,0,0,0,40,2.49493670463562,1,6,1,2.02926635742187,40.5669593811035,,,,,,,,,,,,,,,,
