# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
4.463513e-01 5.708491e-04 2.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
7.898373e-02 2.400714e-04 7.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
1.051228e-02 8.772451e-05 1.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
9.551216e-03 8.364775e-05 1.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.912820e-03 8.085896e-05 2.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.581315e-03 7.941599e-05 2.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.241486e-03 7.799341e-05 3.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
8.105362e-03 7.748637e-05 3.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
7.684373e-03 7.541700e-05 4.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
7.369494e-03 7.389496e-05 4.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
6.608998e-03 6.999257e-05 5.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
6.440423e-03 6.908852e-05 5.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
6.032773e-03 6.685794e-05 6.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
5.618242e-03 6.457347e-05 6.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
5.195602e-03 6.202871e-05 7.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
4.804756e-03 5.948618e-05 7.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
4.574505e-03 5.786364e-05 8.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
4.299872e-03 5.586629e-05 8.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.842426e-03 5.262139e-05 9.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.538598e-03 5.033637e-05 9.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
3.100122e-03 4.684290e-05 1.025000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.650011e-03 4.309126e-05 1.075000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.551326e-03 4.201194e-05 1.125000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.129207e-03 3.815584e-05 1.175000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.983473e-03 3.659341e-05 1.225000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.699487e-03 3.357615e-05 1.275000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.408885e-03 3.032861e-05 1.325000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.379835e-03 2.973085e-05 1.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.189379e-03 2.737299e-05 1.425000e+00 5.000000e-01 0.000000e+00 0.000000e+00
1.093675e-03 2.596658e-05 1.475000e+00 5.000000e-01 0.000000e+00 0.000000e+00
9.780499e-04 2.430004e-05 1.525000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.524207e-04 2.244786e-05 1.575000e+00 5.000000e-01 0.000000e+00 0.000000e+00
8.286517e-04 2.189801e-05 1.625000e+00 5.000000e-01 0.000000e+00 0.000000e+00
6.548885e-04 1.924495e-05 1.675000e+00 5.000000e-01 0.000000e+00 0.000000e+00
7.059038e-04 1.974626e-05 1.725000e+00 5.000000e-01 0.000000e+00 0.000000e+00
