# Intensity Error DeltaE [0,K,0] [0,0,L] [H,0,0]
#  shape: 80x1x1x1
3.133905e-01 5.331302e-04 2.500000e-02 0.000000e+00 0.000000e+00 5.000000e-01
1.649917e-01 3.863990e-04 7.500000e-02 0.000000e+00 0.000000e+00 5.000000e-01
3.526506e-02 1.783980e-04 1.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.004837e-02 9.513531e-05 1.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
5.518753e-03 7.047586e-05 2.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
2.952500e-03 5.149019e-05 2.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.494210e-03 3.658593e-05 3.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.170678e-03 3.234463e-05 3.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.074828e-03 3.100182e-05 4.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
9.335458e-04 2.889255e-05 4.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.037520e-03 3.041030e-05 5.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.028731e-03 3.023069e-05 5.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.191645e-03 3.250485e-05 6.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.173779e-03 3.220980e-05 6.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.379275e-03 3.485425e-05 7.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.624655e-03 3.775212e-05 7.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.790177e-03 3.959646e-05 8.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
1.740689e-03 3.894254e-05 8.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
2.159340e-03 4.325614e-05 9.250000e-01 0.000000e+00 0.000000e+00 5.000000e-01
2.368448e-03 4.523046e-05 9.750000e-01 0.000000e+00 0.000000e+00 5.000000e-01
2.233529e-03 4.388767e-05 1.025000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.532328e-03 4.662403e-05 1.075000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.491209e-03 4.610198e-05 1.125000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.328098e-03 4.442749e-05 1.175000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.180004e-03 4.286906e-05 1.225000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.229841e-03 4.321860e-05 1.275000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.212226e-03 4.287719e-05 1.325000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.264170e-03 4.316044e-05 1.375000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.991514e-03 4.030061e-05 1.425000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.982603e-03 4.005474e-05 1.475000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.925145e-03 3.928060e-05 1.525000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.739391e-03 3.715164e-05 1.575000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.745502e-03 3.702964e-05 1.625000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.806714e-03 3.749380e-05 1.675000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.604830e-03 3.515454e-05 1.725000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.539876e-03 3.424495e-05 1.775000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.500866e-03 3.369553e-05 1.825000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.436704e-03 3.285675e-05 1.875000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.559314e-03 3.409214e-05 1.925000e+00 0.000000e+00 0.000000e+00 5.000000e-01
1.623702e-03 3.464908e-05 1.975000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.043876e-03 3.872270e-05 2.025000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.553718e-03 4.309206e-05 2.075000e+00 0.000000e+00 0.000000e+00 5.000000e-01
