# Intensity Error DeltaE [0,K,0] [0,0,L] [H,0,0]
#  shape: 80x1x1x1
3.209335e-04 1.608716e-05 3.275000e+00 0.000000e+00 0.000000e+00 5.000000e-01
3.463489e-04 1.651173e-05 3.325000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.999563e-04 1.515029e-05 3.375000e+00 0.000000e+00 0.000000e+00 5.000000e-01
2.876885e-04 1.460544e-05 3.425000e+00 0.000000e+00 0.000000e+00 5.000000e-01
3.247156e-04 1.523989e-05 3.475000e+00 0.000000e+00 0.000000e+00 5.000000e-01
3.899398e-04 1.639077e-05 3.525000e+00 0.000000e+00 0.000000e+00 5.000000e-01
3.858662e-04 1.602253e-05 3.575000e+00 0.000000e+00 0.000000e+00 5.000000e-01
3.555824e-04 1.516245e-05 3.625000e+00 0.000000e+00 0.000000e+00 5.000000e-01
3.702625e-04 1.532197e-05 3.675000e+00 0.000000e+00 0.000000e+00 5.000000e-01
3.610466e-04 1.501798e-05 3.725000e+00 0.000000e+00 0.000000e+00 5.000000e-01
4.924915e-04 1.747847e-05 3.775000e+00 0.000000e+00 0.000000e+00 5.000000e-01
4.841265e-04 1.726879e-05 3.825000e+00 0.000000e+00 0.000000e+00 5.000000e-01
5.249199e-04 1.794214e-05 3.875000e+00 0.000000e+00 0.000000e+00 5.000000e-01
5.479443e-04 1.830639e-05 3.925000e+00 0.000000e+00 0.000000e+00 5.000000e-01
5.756536e-04 1.879680e-05 3.975000e+00 0.000000e+00 0.000000e+00 5.000000e-01
