# Intensity Error DeltaE [0,K,0] [0,0,L] [H,0,0]
#  shape: 80x1x1x1
3.384474e-01 7.278666e-04 2.500000e-02 3.300000e-01 0.000000e+00 3.300000e-01
1.950593e-01 5.527119e-04 7.500000e-02 3.300000e-01 0.000000e+00 3.300000e-01
6.595817e-02 3.218279e-04 1.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
3.246144e-02 2.259287e-04 1.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.841193e-02 1.698127e-04 2.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
1.080264e-02 1.299733e-04 2.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
8.072319e-03 1.122457e-04 3.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
7.252581e-03 1.063800e-04 3.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
7.120270e-03 1.053499e-04 4.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
6.675597e-03 1.016603e-04 4.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
6.904386e-03 1.033852e-04 5.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
5.970145e-03 9.599359e-05 5.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
5.773375e-03 9.425383e-05 6.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
5.500966e-03 9.173389e-05 6.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
5.608690e-03 9.270892e-05 7.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
5.218612e-03 8.944601e-05 7.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
4.768621e-03 8.531748e-05 8.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
4.401051e-03 8.172560e-05 8.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
4.146458e-03 7.921415e-05 9.250000e-01 3.300000e-01 0.000000e+00 3.300000e-01
3.429470e-03 7.188556e-05 9.750000e-01 3.300000e-01 0.000000e+00 3.300000e-01
3.328341e-03 7.057668e-05 1.025000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.889487e-03 6.560254e-05 1.075000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.722939e-03 6.361742e-05 1.125000e+00 3.300000e-01 0.000000e+00 3.300000e-01
2.448997e-03 6.010839e-05 1.175000e+00 3.300000e-01 0.000000e+00 3.300000e-01
