# Intensity Error DeltaE [0,K,0] [0,0,L] [H,0,0]
#  shape: 66x1x1x1
3.016447e+00 2.073796e-03 2.500000e-02 1.000000e+00 0.000000e+00 0.000000e+00
1.493781e+00 1.456529e-03 7.500000e-02 1.000000e+00 0.000000e+00 0.000000e+00
2.964412e-01 6.484279e-04 1.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
6.571315e-02 3.047509e-04 1.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.979393e-02 1.673013e-04 2.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
4.846912e-03 8.290480e-05 2.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
2.018625e-03 5.360658e-05 3.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.643984e-03 4.852072e-05 3.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.448374e-03 4.566487e-05 4.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.323957e-03 4.384066e-05 4.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.029489e-03 3.885559e-05 5.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
1.070625e-03 3.978954e-05 5.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
8.753256e-04 3.615942e-05 6.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
9.790060e-04 3.839983e-05 6.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
9.613351e-04 3.830057e-05 7.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
8.101579e-04 3.539197e-05 7.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
8.079297e-04 3.556718e-05 8.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
8.087922e-04 3.588442e-05 8.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
7.640024e-04 3.524086e-05 9.250000e-01 1.000000e+00 0.000000e+00 0.000000e+00
7.207915e-04 3.459916e-05 9.750000e-01 1.000000e+00 0.000000e+00 0.000000e+00
7.231460e-04 3.503660e-05 1.025000e+00 1.000000e+00 0.000000e+00 0.000000e+00
7.885830e-04 3.701011e-05 1.075000e+00 1.000000e+00 0.000000e+00 0.000000e+00
6.305524e-04 3.341928e-05 1.125000e+00 1.000000e+00 0.000000e+00 0.000000e+00
8.434646e-04 3.898924e-05 1.175000e+00 1.000000e+00 0.000000e+00 0.000000e+00
8.163597e-04 3.874280e-05 1.225000e+00 1.000000e+00 0.000000e+00 0.000000e+00
8.117888e-04 3.905729e-05 1.275000e+00 1.000000e+00 0.000000e+00 0.000000e+00
8.429710e-04 4.018717e-05 1.325000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.045600e-03 4.541808e-05 1.375000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.016889e-03 4.547678e-05 1.425000e+00 1.000000e+00 0.000000e+00 0.000000e+00
9.328067e-04 4.416979e-05 1.475000e+00 1.000000e+00 0.000000e+00 0.000000e+00
1.037213e-03 4.724390e-05 1.525000e+00 1.000000e+00 0.000000e+00 0.000000e+00
