# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
4.389945e-01 5.322138e-04 2.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
7.120624e-02 2.138781e-04 7.500000e-02 5.000000e-01 0.000000e+00 0.000000e+00
2.896125e-03 4.313467e-05 1.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.128453e-03 3.693993e-05 1.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.798209e-03 3.389841e-05 2.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.466081e-03 3.056998e-05 2.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.317882e-03 2.896627e-05 3.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.431661e-03 3.016875e-05 3.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.347867e-03 2.919138e-05 4.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.149188e-03 2.690791e-05 4.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.295142e-03 2.852164e-05 5.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.194285e-03 2.731275e-05 5.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.273476e-03 2.812648e-05 6.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.319516e-03 2.857739e-05 6.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.399289e-03 2.931785e-05 7.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.808473e-03 3.316220e-05 7.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
1.995884e-03 3.468103e-05 8.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.135256e-03 3.565714e-05 8.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.193057e-03 3.592778e-05 9.250000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.460111e-03 3.787044e-05 9.750000e-01 5.000000e-01 0.000000e+00 0.000000e+00
2.481409e-03 3.777111e-05 1.025000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.311482e-03 3.625899e-05 1.075000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.334594e-03 3.621395e-05 1.125000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.390573e-03 3.647307e-05 1.175000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.230619e-03 3.509436e-05 1.225000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.107759e-03 3.392578e-05 1.275000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.024897e-03 3.311083e-05 1.325000e+00 5.000000e-01 0.000000e+00 0.000000e+00
2.011187e-03 3.279908e-05 1.375000e+00 5.000000e-01 0.000000e+00 0.000000e+00
