# Intensity Error DeltaE [H,0,0] [0,K,0] [0,0,L]
#  shape: 58x1x1x1
4.666561e-01 6.067116e-04 2.500000e-02 3.300000e-01 3.300000e-01 0.000000e+00
8.321031e-02 2.555065e-04 7.500000e-02 3.300000e-01 3.300000e-01 0.000000e+00
3.689687e-03 5.366016e-05 1.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.982791e-03 3.918845e-05 1.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.398006e-03 3.287843e-05 2.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.458005e-03 3.351965e-05 2.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.161604e-03 2.991291e-05 3.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.064079e-03 2.860270e-05 3.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.015277e-03 2.786037e-05 4.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
7.967974e-04 2.461323e-05 4.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
8.526168e-04 2.534149e-05 5.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
7.953590e-04 2.442934e-05 5.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
8.583338e-04 2.533301e-05 6.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
8.669174e-04 2.545366e-05 6.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
9.524578e-04 2.662211e-05 7.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
9.194834e-04 2.606967e-05 7.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
1.055910e-03 2.778722e-05 8.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
9.874376e-04 2.677577e-05 8.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
9.044743e-04 2.556206e-05 9.250000e-01 3.300000e-01 3.300000e-01 0.000000e+00
9.985114e-04 2.680158e-05 9.750000e-01 3.300000e-01 3.300000e-01 0.000000e+00
9.396843e-04 2.590336e-05 1.025000e+00 3.300000e-01 3.300000e-01 0.000000e+00
8.734484e-04 2.484451e-05 1.075000e+00 3.300000e-01 3.300000e-01 0.000000e+00
9.719508e-04 2.608868e-05 1.125000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.007822e-03 2.648513e-05 1.175000e+00 3.300000e-01 3.300000e-01 0.000000e+00
9.266869e-04 2.531531e-05 1.225000e+00 3.300000e-01 3.300000e-01 0.000000e+00
9.110079e-04 2.496161e-05 1.275000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.019231e-03 2.624669e-05 1.325000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.046739e-03 2.646812e-05 1.375000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.034366e-03 2.618878e-05 1.425000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.067439e-03 2.642324e-05 1.475000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.093734e-03 2.655842e-05 1.525000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.074701e-03 2.618909e-05 1.575000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.190197e-03 2.739188e-05 1.625000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.509499e-03 3.063463e-05 1.675000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.522793e-03 3.060342e-05 1.725000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.650401e-03 3.164534e-05 1.775000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.738525e-03 3.221737e-05 1.825000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.865036e-03 3.313603e-05 1.875000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.809417e-03 3.235275e-05 1.925000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.757261e-03 3.160261e-05 1.975000e+00 3.300000e-01 3.300000e-01 0.000000e+00
1.839264e-03 3.203740e-05 2.025000e+00 3.300000e-01 3.300000e-01 0.000000e+00
